query,ngram_score
TEST,100
LAND ASSISTANCE LAND HERE,0
LAND ASSISTANCE HERE,0
LAND ASSISTANCE HERE LAND,0
LAND ASSISTANCE LAND,0
LAND ASSISTANCE,1.8026066287794387e-09
LAND HERE ASSISTANCE HERE,0
LAND HERE ASSISTANCE LAND,0
LAND HERE ASSISTANCE,0
LAND MEDICAL LAND HERE,0
LAND MEDICAL HERE,0
LAND MEDICAL HERE LAND,0
LAND MEDICAL LAND,0
LAND MEDICAL,2.4152852634573563e-10
LAND HERE MEDICAL HERE,0
LAND HERE MEDICAL LAND,0
LAND HERE MEDICAL,0
LAND NEED LAND HERE,0
LAND NEED HERE,0
LAND NEED HERE LAND,0
LAND NEED LAND,0
LAND NEED,6.809219414011247e-09
LAND HERE NEED HERE,0
LAND HERE NEED LAND,0
LAND HERE NEED,0
UP ASSISTANCE LAND HERE,0
UP LAND ASSISTANCE HERE,0
UP ASSISTANCE HERE LAND,0
UP ASSISTANCE LAND,0
UP LAND ASSISTANCE LAND,0
UP LAND ASSISTANCE,0
UP ASSISTANCE HERE,0
UP HERE ASSISTANCE HERE,0
UP HERE ASSISTANCE LAND,0
UP HERE ASSISTANCE,0
UP ASSISTANCE,8.31759939974123e-09
UP MEDICAL LAND HERE,0
UP LAND MEDICAL HERE,0
UP MEDICAL HERE LAND,0
UP MEDICAL LAND,0
UP LAND MEDICAL LAND,0
UP LAND MEDICAL,0
UP MEDICAL HERE,0
UP HERE MEDICAL HERE,0
UP HERE MEDICAL LAND,0
UP HERE MEDICAL,0
UP MEDICAL,2.858887162768275e-08
UP NEED LAND HERE,0
UP LAND NEED HERE,0
UP NEED HERE LAND,0
UP NEED LAND,0
UP LAND NEED LAND,0
UP LAND NEED,0
UP NEED HERE,0
UP HERE NEED HERE,0
UP HERE NEED LAND,0
UP HERE NEED,8.843993361725329e-11
UP NEED,1.5811272619884836e-08
PICK ASSISTANCE LAND HERE,0
PICK LAND ASSISTANCE HERE,0
PICK ASSISTANCE HERE LAND,0
PICK ASSISTANCE LAND,0
PICK LAND ASSISTANCE LAND,0
PICK LAND ASSISTANCE,0
PICK ASSISTANCE HERE,0
PICK HERE ASSISTANCE HERE,0
PICK HERE ASSISTANCE LAND,0
PICK HERE ASSISTANCE,0
PICK ASSISTANCE,0
PICK MEDICAL LAND HERE,0
PICK LAND MEDICAL HERE,0
PICK MEDICAL HERE LAND,0
PICK MEDICAL LAND,0
PICK LAND MEDICAL LAND,0
PICK LAND MEDICAL,0
PICK MEDICAL HERE,0
PICK HERE MEDICAL HERE,0
PICK HERE MEDICAL LAND,0
PICK HERE MEDICAL,0
PICK MEDICAL,9.614380241014982e-11
PICK NEED LAND HERE,0
PICK LAND NEED HERE,0
PICK NEED HERE LAND,0
PICK NEED LAND,0
PICK LAND NEED LAND,0
PICK LAND NEED,0
PICK NEED HERE,0
PICK HERE NEED HERE,0
PICK HERE NEED LAND,0
PICK HERE NEED,0
PICK NEED,1.4432776964297864e-10
NEED MEDICAL ASSISTANCE,7.701431941250132e-09
NEED MEDICAL ASSISTANCE MEDICAL ASSISTANCE,0
